id,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,license,price_in_USD,long_term,price_per_night
5643408,Sophiearth  Apartment in Shinkjuku (A4-D1),Seungkwan,Shinjuku Ku,35.69955,139.70423,Entire home/apt,27720,3,22,10,hotels and inns business act | 東京都新宿区保健所 | 26新保衛環第170号,178.83870967741936,False,9240
5661072,Okubo 807 Shinjuku Hyakunincho 3mins  JR station,Michi,Shinjuku Ku,35.70035,139.6967,Entire home/apt,25000,2,156,21,m130004190,161.29032258064515,False,12500
5673677,羽根木の森の部屋,Kanako,Setagaya Ku,35.66432,139.65839,Private room,17100,4,79,2,m130008796,110.3225806451613,False,4275
5738050,Enjoy local life in Tokyo,Chieko,Ota Ku,35.56976,139.69158,Entire home/apt,6143,3,180,1,special economic zoning act | 30健生発第10252号,39.63225806451613,False,2048
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2019),武男,Bunkyo Ku,35.71934,139.76508,Private room,7020,3,78,1,m130006097,45.29032258064516,False,2340
5876019,"Residential area, Peaceful Traditional House 1",Hotaka,Higashimurayama Shi,35.76544,139.44477,Private room,7589,3,90,3,m130000492,48.961290322580645,False,2530
5932309,"Japanese cosy vintage house, easy access in Tokyo",Chie,Kita Ku,35.74408,139.72525,Entire home/apt,10450,2,300,1,hotels and inns business act | 東京都北区保健所 | 5北健生環き第9号,67.41935483870968,False,5225
5936568,"Private apartment in Tokyo machida, 17m2",Suda,Machida Shi,35.56134,139.46284,Entire home/apt,5225,3,76,1,m130000362,33.70967741935484,False,1742
5947917,奥浅草の静かな1DK｜最大4名｜広々寝室＆快適滞在｜桜＆スーパー近｜家族・小グループ向け,雅泰,Taito Ku,35.720383726628555,139.80487268418074,Entire home/apt,14040,2,12,12,hotels and inns business act | 東京都台東区台東保健所 | 5台台健生環き第10035号,90.58064516129032,False,7020
5963368,Near池袋-Trad. JP. villa w/ free wifi,文娟,Nerima Ku,35.7646,139.66835,Private room,10800,1,44,5,m130001805,69.6774193548387,False,10800
6050643,"Residential area, Peaceful Traditional House 3",Hotaka,Higashimurayama Shi,35.76676,139.44505,Entire home/apt,18000,3,73,3,m130000493,116.12903225806451,False,6000
6308465,"60㎡,5beds,3mins to Shibuya Sta",Ayako,Meguro Ku,35.64284,139.70001,Entire home/apt,32857,2,235,4,hotels and inns business act | 目黒区保健所 | 目健衛環き第78号,211.9806451612903,False,16428
6365363,SHITAMACHI BASE/Quiet new apt.room101/skytree view,Hiroyoshi,Sumida Ku,35.71865,139.81069,Entire home/apt,9757,1,85,12,hotels and inns business act | 東京都墨田区保健所 | 27墨福衛生環第213号,62.94838709677419,False,9757
6374299,AM 601 50m2 13min-Shinjuku/ 19min-Shibuya,Ryo & Yuri,Toshima Ku,35.730572,139.7298174,Entire home/apt,16000,3,143,7,m130004767,103.2258064516129,False,5333
6380625,Sunny House in a Leafy Street,Nayu,Suginami Ku,35.67951,139.64878,Entire home/apt,37679,3,170,1,m130001866,243.09032258064516,False,12560
6439108,Daisuke's Luxurious Shimokita Entire 1Bed Apt 2,Daisuke,Setagaya Ku,35.66106,139.66859,Entire home/apt,20900,2,299,3,hotels and inns business act | 東京都世田谷保健所 | 30世保生環き第339号,134.83870967741936,False,10450
6562355,Middle of Shinjuku and Kamakura,Miharu,Machida Shi,35.55057,139.45385,Private room,5496,1,51,1,m130001828,35.458064516129035,False,5496
6592213,Thailand house(Japanese-style room),Masaru,Machida Shi,35.5866232162352,139.485919120729,Private room,3486,1,203,3,m130000049,22.490322580645163,False,3486
6646878,near shibuya quiet residential area,Toshiro & Tanya,Setagaya Ku,35.65191,139.66968,Private room,9617,7,103,7,m130000233,62.04516129032258,False,1374
6648293,"High speed internet ,8min walk from JR Osaki",Sayoko,Shinagawa Ku,35.61486,139.726,Private room,9269,2,368,2,hotels and inns business act | 品川区保健所 | 30品保生環き第51号,59.8,False,4634
6719865,Yanesen  Traditional Nagaya house,Takamitsu,Taito Ku,35.72024,139.76607,Entire home/apt,21506,2,159,2,m130000440,138.7483870967742,False,10753
6749824,羽田、成田から一時間の便利な立地です。,Yoshio,Taito Ku,35.7242,139.77766,Private room,4950,2,165,2,m130000164,31.93548387096774,False,2475
6768640,SHITAMACHI BASE/Quiet new apt.room102/skytree view,Hiroyoshi,Sumida Ku,35.71818,139.81237,Entire home/apt,12143,1,71,12,hotels and inns business act | 東京都墨田区保健所 | 27墨福衛生環第213号,78.34193548387097,False,12143
6785470,DOMUS MUSASHINO -Sakura View-,Kanako,Kodaira Shi,35.72576,139.50954,Entire home/apt,5100,5,59,1,m130000194,32.903225806451616,False,1020
6800607,313 Private Cozy Apt. in Tokyo,タツロウ (Taturo),Nerima Ku,35.73624,139.63247,Entire home/apt,10641,1,50,11,hotels and inns business act | 中野区保健所 |  30中環生環第52号,68.65161290322581,False,10641
6803014,"Minato-ku, Tokyo, Nature-Rich-Designer""Tiny"" House",Kan,Minato Ku,35.63612,139.72575,Entire home/apt,37747,3,201,1,m130002333,243.52903225806452,False,12582
6812578,"Female,Couple/Less 15min to Shibuya",Mami,Shinagawa Ku,35.62302,139.70141,Private room,13086,2,284,1,m130000238,84.4258064516129,False,6543
6837981,SHITAMACHI BASE/Quiet new apt.room103/skytree view,Hiroyoshi,Sumida Ku,35.71848,139.81109,Entire home/apt,9471,1,105,12,hotels and inns business act | 東京都墨田区保健所 | 27墨福衛生環第213号,61.10322580645161,False,9471
776070,Kero-kero room 1F,Kei,Kita Ku,35.73844,139.76917,Private room,8961,3,266,1,m130000243,57.81290322580645,False,2987
3514008,誠道館 303／静かで出入り自由な完全個室（専用バス・トイレ）,Hisao,Arakawa Ku,35.72672,139.78201,Entire home/apt,2900,1,358,8,hotels and inns business act | 東京都荒川区保健所 | 31荒保衛環へ第１3号,18.70967741935484,False,2900
3563698,"Clean and comfortable apartment in Machida, Tokyo",Ken,Machida Shi,35.58911,139.48023,Entire home/apt,4551,5,133,3,m130000249,29.361290322580643,False,910
3572139,Modern Japanese house w/ garden,Tomo,Toshima Ku,35.72784292965493,139.73408415595273,Entire home/apt,26890,3,238,1,m130001001,173.48387096774192,False,8963
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,Masakatsu,Edogawa Ku,35.68358,139.85985,Entire home/apt,10094,2,137,2,hotels and inns business act | 東京都江戸川区保健所 | 18江衛環01第42号,65.12258064516129,False,5047
3657357,2 TINY Apartments - 1 Listing Central Tokyo Nakano,Best Stay In Tokyo!,Nakano Ku,35.70928,139.6872,Entire home/apt,25730,5,63,8,hotels and inns business act | 中野区保健所 | 30中環生環第92号,166.0,False,5146
3689244,"Shiya-ku, near by Shinjuku 2DK / MDS2BR",近藤,Shibuya Ku,35.67205,139.67877,Entire home/apt,30600,3,54,20,m130003456,197.41935483870967,False,10200
3744742,"(3) JR Station 8 mins Walk, Shinjuku 11 mins Train",Sei,Kita Ku,35.76108,139.71599,Entire home/apt,16074,3,237,7,m130035124,103.70322580645161,False,5358
3775528,SHIBUYA12min/Fancy&Warm house,Mikako,Setagaya Ku,35.62942,139.63077,Private room,14187,1,100,1,m130001108,91.52903225806452,False,14187
3793206,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F B,Min & Haru,Shinjuku Ku,35.69847,139.70432,Private room,15259,2,244,13,m130002186,98.44516129032257,False,7630
3793412,＊新宿・大久保徒歩圏内＊コンビニ徒歩1分＊屋上から夜景ビュー 個室 JUST2B,Min & Haru,Shinjuku Ku,35.69848,139.70432,Private room,14821,2,74,13,m130002186,95.61935483870968,False,7410
3814258,apartment hotel TASU TOCO,岩間,Suginami Ku,35.70293,139.60045,Entire home/apt,8554,3,234,4,hotels and inns business act | 杉並区杉並保健所 | 22　杉並第　37960　号,55.18709677419355,False,2851
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,Tracey,Shibuya Ku,35.68245,139.69009,Entire home/apt,51300,1,242,8,m130018884,330.96774193548384,False,51300
3845889,COZY LOFT bedroom,Manami,Suginami Ku,35.70679,139.6551,Entire home/apt,12000,4,105,2,m130000777,77.41935483870968,False,3000
3846001,COZY COMFY apartment,Manami,Suginami Ku,35.70686575604375,139.6554380782686,Entire home/apt,12000,4,152,2,m130008732,77.41935483870968,False,3000
3871442,Nishi-Ogikubo 1BR Roomy  2F,近藤,Suginami Ku,35.70399,139.59775,Entire home/apt,18000,3,36,20,m130002734,116.12903225806451,False,6000
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",Azabu,Shibuya Ku,35.64966,139.72181,Entire home/apt,56160,5,159,3,m130003789,362.3225806451613,False,11232
3920124,"Residential area, Peaceful Traditional House 2",Hotaka,Higashimurayama Shi,35.76577,139.44678,Entire home/apt,7000,3,134,3,m130000495,45.16129032258065,False,2333
3956263,TINY Home in Shibuya Close to Shinjuku,Best Stay In Tokyo!,Shibuya Ku,35.67716,139.67957,Entire home/apt,21282,5,189,8,hotels and inns business act | 渋谷区保健所長 | 31渋建生収第７７０号,137.30322580645162,False,4256
4026948,Near Shinagawa Shibuya Haneda,Daisuke,Shinagawa Ku,35.60033,139.73415,Private room,8963,3,151,1,m130000543,57.825806451612905,False,2988
4047596,Enjoy Central Tokyo Yamanote Life 2BR Condo,Bryan,Shinagawa Ku,35.62633,139.7235,Entire home/apt,40000,7,264,2,hotels and inns business act | 品川区保健所 | 5品保生環き第2号,258.06451612903226,False,5714
4050925,Airport transfer service&Asakusa traditional house,Yoshi,Taito Ku,35.71431,139.79885,Entire home/apt,52857,2,651,6,hotels and inns business act | 東京都台東区台東保健所 | 30台台健生環き第122号,341.01290322580644,False,26428
4141228,211 Private Cozy Apt. in Tokyo,タツロウ (Taturo),Nakano Ku,35.73417,139.63328,Entire home/apt,10641,3,90,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,68.65161290322581,False,3547
4222643,Decoboco hanare,Decoboco,Koto Ku,35.6806,139.81931,Entire home/apt,9200,2,346,3,m130015171,59.354838709677416,False,4600
4360718,"(2) JR Station 8 mins Walk, Shinjuku 11 mins Train",Sei,Kita Ku,35.76108,139.71599,Entire home/apt,10307,1,240,7,m130035123,66.49677419354839,False,10307
4388283,Sunny room in residential area in 国分寺 1st Floor,Como,Kokubunji Shi,35.70919,139.48074,Private room,4833,2,67,4,m130002755,31.18064516129032,False,2416
4396219,Nishi-Ogikubo 1BR Twin Type-B 2F,近藤,Suginami Ku,35.70399,139.59775,Entire home/apt,17550,3,62,20,m130002742,113.2258064516129,False,5850
4396221,nishi-ogikubo 1BED Roomy 5F,近藤,Suginami Ku,35.70399,139.59775,Entire home/apt,23500,3,45,20,m130002749,151.61290322580646,False,7833
4471640,"Rm1 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",Sachiko,Higashimurayama Shi,35.75828,139.48037,Private room,5274,14,18,3,m130000063,34.0258064516129,False,377
4477690,Experience Japan in a Japanese House in Shinjuku!,Parissa,Shinjuku Ku,35.70077,139.7221,Entire home/apt,30191,7,30,1,m130044648,194.78064516129032,False,4313
4540924,"2persons Hino room 2, Shinjuku28min Shibuya38min",Naga,Hino Shi,35.685214489929706,139.39478936735702,Entire home/apt,9409,2,49,2,m130008297,60.70322580645161,False,4704
4606903,Reversible Destiny Lofts—Mitaka / for 2people,Matsuda,Mitaka Shi,35.680981,139.538055,Private room,25200,3,54,2,m130004784,162.58064516129033,False,8400
4616579,Furnished Private Apt.213,タツロウ (Taturo),Nakano Ku,35.73414,139.63305,Entire home/apt,10641,3,92,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,68.65161290322581,False,3547
4673248,Reversible Destiny Lofts—Mitaka / for 4people,Matsuda,Mitaka Shi,35.680981,139.538055,Entire home/apt,31500,3,73,2,m130004785,203.2258064516129,False,10500
4690684,"Rm2 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",Sachiko,Higashimurayama Shi,35.75851,139.47982,Private room,4253,14,5,3,m130000063,27.438709677419354,False,304
4691157,"Rm3 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",Sachiko,Higashimurayama Shi,35.75619,139.48071,Private room,3960,14,29,3,m130000063,25.548387096774192,False,283
4750169,4persons! Shinjuku30min Tokyo45min!,Naga,Hino Shi,35.68548,139.39496,Entire home/apt,8143,2,54,2,m130008296,52.535483870967745,False,4072
4813245,*Tokyo House group&family upto5 FastWIFI,Kevin,Toshima Ku,35.73055,139.68657,Entire home/apt,33442,3,149,5,m130006713,215.75483870967741,False,11147
4817291,56㎡ Let's go to Asakusa & Akihabara,Keiko,Taito Ku,35.72804,139.79048,Entire home/apt,20900,3,373,2,hotels and inns business act | 東京都台東区台東保健所 | 30台台健生環き第219号,134.83870967741936,False,6967
4825779,6C/18.36㎡/Japanese Modern Apt 2 Stops to Shinjuku,Mao,Shibuya Ku,35.67744,139.68058,Entire home/apt,14400,1,341,1,hotels and inns business act | 渋谷区保健所 | 31渋健生収第3946号,92.90322580645162,False,14400
4842239,"Access into center  Tokyo,for economize travelers",Rinrin,Bunkyo Ku,35.72761,139.76383,Entire home/apt,8786,1,206,1,m130037058,56.68387096774194,False,8786
4849854,Villa Takaosan,Yuki,Hachioji Shi,35.63738,139.2863,Entire home/apt,14057,2,194,3,m130001407,90.69032258064516,False,7028
4888140,"(1) JR Station 8 mins Walk, Shinjuku 11 mins Train",Sei,Kita Ku,35.76108,139.71599,Entire home/apt,11100,3,236,7,m130035122,71.61290322580645,False,3700
4925503,103　新宿/渋谷 shinjuku/shibuya 2024/1  リニューアルオープン,Mitsuko,Shibuya Ku,35.67923,139.67571,Entire home/apt,11800,2,241,7,m130002439,76.12903225806451,False,5900
4925745,New House 100㎡ near metro happy!!!!,Keiko,Taito Ku,35.72951,139.79137,Entire home/apt,32571,2,420,2,hotels and inns business act | 東京都台東区台東保健所 | 30台台健生環き第220号,210.13548387096773,False,16286
4926317,102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 2023年5月リニューアルオープン！,Mitsuko,Shibuya Ku,35.68068,139.6753,Entire home/apt,11000,2,315,7,m130003221,70.96774193548387,False,5500
4926426,203  shibya/shinjuku 幡ヶ谷駅近  2023/12 リニューアルオープン！,Mitsuko,Shibuya Ku,35.67933,139.67511,Entire home/apt,10000,2,272,7,m130002430,64.51612903225806,False,5000
5034900,Sophiearth Apartment in Shinjuku (A3-D1),Seungkwan,Shinjuku Ku,35.69974,139.70424,Entire home/apt,23802,1,39,10,hotels and inns business act | 東京都新宿区保健所 | 26新保衛環第170号,153.56129032258065,False,23802
5070495,Private Cozy Apt. 111 in Tokyo,タツロウ (Taturo),Nakano Ku,35.73496,139.63132,Entire home/apt,10641,3,91,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,68.65161290322581,False,3547
5080877,Decoboco,Decoboco,Koto Ku,35.68162,139.81859,Entire home/apt,10282,1,283,3,hotels and inns business act | 江東区保健所 | 5江健生環へ第５４１号,66.33548387096774,False,10282
5128293,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No3 ドミトリールーム,Min & Haru,Shinjuku Ku,35.69872,139.70276,Shared room,7741,2,190,13,m130002186,49.94193548387097,False,3870
5198467,Wonderful Japanese style OTOME! (*´ω｀),Tomoya,Bunkyo Ku,35.72129,139.76323,Entire home/apt,45000,3,68,1,m130017222,290.3225806451613,False,15000
5217466,411 Private Cozy Apt. in Tokyo,タツロウ (Taturo),Nakano Ku,35.73404,139.63128,Entire home/apt,11201,3,116,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,72.26451612903226,False,3734
5262640,Private Cozy Apt in Tokyo 413,タツロウ (Taturo),Nakano Ku,35.73445,139.63139,Entire home/apt,10641,3,69,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,68.65161290322581,False,3547
5262658,Private Cozy Apt in Tokyo 311,タツロウ (Taturo),Nerima Ku,35.73588,139.63159,Entire home/apt,10641,3,144,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,68.65161290322581,False,3547
5410242,Steve's International Guest Place,Steve,Suginami Ku,35.70055,139.60022,Entire home/apt,8736,4,63,1,m130000018,56.36129032258064,False,2184
5464293,3F Cool Bar Entire Apt in Asagaya TOKYO /w WIFI,Kimmy And Dee,Suginami Ku,35.70524,139.63828,Entire home/apt,14400,2,178,6,hotels and inns business act | 杉並区杉並保健所 | 31杉保衛環第50号,92.90322580645162,False,7200
5464305,2F Cool Bar Entire Apt in Asagaya TOKYO /w WIFI,Kimmy And Dee,Suginami Ku,35.71162,139.63497,Entire home/apt,10286,2,183,6,hotels and inns business act | 東京都杉並区保健所 | 31杉保衛環第50号,66.36129032258064,False,5143
5516726,Mt. Fuji & Skytree view from the rooftop.,Airin,Nakano Ku,35.72182,139.64125,Private room,19429,1,29,1,m130000774,125.34838709677419,False,19429
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,Insta-Homes,Nerima Ku,35.73172,139.66583,Private room,8550,1,210,3,m130000891,55.16129032258065,False,8550
5585604,Sophiearth Annex with Two Bed Room,Seungkwan,Shinjuku Ku,35.70041,139.70621,Private room,48113,3,15,10,hotels and inns business act | 東京都新宿区保健所 | 26新保衛環第170号,310.4064516129032,False,16038
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,タツロウ (Taturo),Nerima Ku,35.7359,139.63151,Entire home/apt,11350,3,57,11,hotels and inns business act | 中野区保健所 | 30中環生環第52号,73.2258064516129,False,3783
8274487,"High speed internet ,8min walk JR Osaki.max for 3",Sayoko,Shinagawa Ku,35.61533,139.72495,Entire home/apt,11160,2,349,2,hotels and inns business act | 品川区保健所 | 30品保生環き第５１号,72.0,False,5580
8297870,Room available in Brand New House,Jason,Toshima Ku,35.74061,139.71046,Private room,5377,3,85,2,m130002218,34.69032258064516,False,1792
8328784,503 / Near Shinjuku Shibuya / Large open balcony,Masami,Shibuya Ku,35.67949,139.67874,Entire home/apt,9310,1,334,12,hotels and inns business act | 渋谷区保健所 | 6渋保生環第833号,60.064516129032256,False,9310
8332946,Near SkyTree Aakusa Oshiage station Free wifi,Shio,Sumida Ku,35.70672,139.81335,Entire home/apt,19200,2,155,3,m130007908,123.87096774193549,False,9600
8341784,Near Shinjuku! BigBalcony New!Powerful clothdryer~,Rumika,Shibuya Ku,35.6857,139.68274,Entire home/apt,32857,3,197,23,hotels and inns business act | 渋谷区保健所 | ５渋保生環第659号,211.9806451612903,False,10952
8372308,東京の中心地・新橋徒歩5分。銀座や皇居、東京タワーも徒歩圏内！,Hirotake,Minato Ku,35.667755126953125,139.7528076171875,Entire home/apt,34538,1,275,3,m130005435,222.8258064516129,False,34538
8416408,Near SHIBUYA Quiet Residential Area,Toshiro & Tanya,Setagaya Ku,35.65192,139.66968,Private room,11517,7,89,7,m130000233,74.30322580645161,False,1645
8447162,Special Price☆Enjoy the huge house☆SHIMOKITA TOKYO,Kyoko,Setagaya Ku,35.66326,139.66277,Entire home/apt,65000,3,205,1,m130009249,419.35483870967744,False,21667
8450948,"Recommended for families 【go,toトラベル承認済）",Yukio,Machida Shi,35.59061,139.46899,Entire home/apt,9000,2,186,4,hotels and inns business act | 東京都町田市保健所 | １９町保環第４１１号,58.064516129032256,False,4500
8488964,D) 4min walk Ikebukuro/Free wifi/Direct Shinjuku,Momo,Toshima Ku,35.73332,139.70842,Entire home/apt,18569,3,163,8,hotels and inns business act | 東京都豊島区池袋保健所 | 2豊池保衛環き第71号,119.8,False,6190
